Unverified Manufacturers (352 total)
Generated: 2026-01-29T22:18:42.743Z

NAME	CATEGORY	COUNTRY	FILE
Wessels Company	hvac	undefined	w/wessels.yaml
Westlake Pipe & Fittings	plumbing	undefined	w/westlake-pipe-and-fittings.yaml
White-Rodgers (Copeland)	hvac	undefined	w/white-rodgers.yaml
Wieland Electric	electrical	undefined	w/wieland-electric.yaml
Willoughby Industries	plumbing	undefined	w/willoughby-industries.yaml
Willoughby Industries (WSF)	plumbing, commercial-fixtures	undefined	w/willoughby.yaml
Wilo USA	hvac	undefined	w/wilo.yaml
Woodford Manufacturing Company, LLC	plumbing	undefined	w/woodford-manufacturing.yaml
Woodford Manufacturing	plumbing	undefined	w/woodford.yaml
Yaskawa Motoman	electrical	undefined	y/yaskawa-motoman.yaml
ZIEHL-ABEGG USA	hvac	undefined	z/ziehl-abegg.yaml
Zoeller Pump Company	plumbing	undefined	z/zoeller.yaml
Zurn Wilkins	plumbing, hvac	undefined	z/zurn-wilkins.yaml
Zurn (Zurn Elkay Water Solutions)	plumbing	undefined	z/zurn.yaml
